job_no,job_type_prediction
Id-1,Clinical Research
Id-2,"Pharmaceutical, Healthcare and Medical Sales"
Id-4,Clinical Research
Id-6,Clinical Research
Id-7,Clinical Research
Id-8,Clinical Research
Id-15,"Pharmaceutical, Healthcare and Medical Sales"
Id-17,Clinical Research
Id-20,"Pharmaceutical, Healthcare and Medical Sales"
Id-25,"Pharmaceutical, Healthcare and Medical Sales"
Id-26,"Pharmaceutical, Healthcare and Medical Sales"
Id-28,"Pharmaceutical, Healthcare and Medical Sales"
Id-29,Science
Id-30,"Pharmaceutical, Healthcare and Medical Sales"
Id-31,Science
Id-32,Clinical Research
Id-34,Clinical Research
Id-35,Science
Id-38,"Pharmaceutical, Healthcare and Medical Sales"
Id-41,Clinical Research
Id-46,"Pharmaceutical, Healthcare and Medical Sales"
Id-47,Clinical Research
Id-49,"Pharmaceutical, Healthcare and Medical Sales"
Id-50,Clinical Research
Id-53,Manufacturing & Operations
Id-54,Clinical Research
Id-62,Clinical Research
Id-63,Clinical Research
Id-64,"Pharmaceutical, Healthcare and Medical Sales"
Id-65,"Pharmaceutical, Healthcare and Medical Sales"
Id-70,"Pharmaceutical, Healthcare and Medical Sales"
Id-73,Clinical Research
Id-77,"Pharmaceutical, Healthcare and Medical Sales"
Id-78,Clinical Research
Id-80,"Pharmaceutical, Healthcare and Medical Sales"
Id-83,"Pharmaceutical, Healthcare and Medical Sales"
Id-84,"Pharmaceutical, Healthcare and Medical Sales"
Id-85,Clinical Research
Id-88,Science
Id-89,Science
Id-91,Clinical Research
Id-92,"Pharmaceutical, Healthcare and Medical Sales"
Id-95,"Pharmaceutical, Healthcare and Medical Sales"
Id-97,"Pharmaceutical, Healthcare and Medical Sales"
Id-102,Manufacturing & Operations
Id-103,"Pharmaceutical, Healthcare and Medical Sales"
Id-104,Clinical Research
Id-107,Clinical Research
Id-109,Science
Id-116,Clinical Research
Id-120,Clinical Research
Id-121,"Pharmaceutical, Healthcare and Medical Sales"
Id-122,"Pharmaceutical, Healthcare and Medical Sales"
Id-125,"Pharmaceutical, Healthcare and Medical Sales"
Id-127,Clinical Research
Id-134,"Pharmaceutical, Healthcare and Medical Sales"
Id-135,Clinical Research
Id-136,Clinical Research
Id-147,Science
Id-148,Clinical Research
Id-150,"Pharmaceutical, Healthcare and Medical Sales"
Id-156,Clinical Research
Id-157,Clinical Research
Id-161,Clinical Research
Id-163,"Pharmaceutical, Healthcare and Medical Sales"
Id-164,"Pharmaceutical, Healthcare and Medical Sales"
Id-170,Clinical Research
Id-172,"Pharmaceutical, Healthcare and Medical Sales"
Id-177,Clinical Research
Id-178,"Pharmaceutical, Healthcare and Medical Sales"
Id-179,"Pharmaceutical, Healthcare and Medical Sales"
Id-180,Clinical Research
Id-182,"Pharmaceutical, Healthcare and Medical Sales"
Id-183,Clinical Research
Id-185,"Pharmaceutical, Healthcare and Medical Sales"
Id-189,Clinical Research
Id-191,Clinical Research
Id-192,Clinical Research
Id-193,Science
Id-194,Science
Id-197,Science
Id-198,Clinical Research
Id-199,Science
Id-200,Manufacturing & Operations
Id-203,"Pharmaceutical, Healthcare and Medical Sales"
Id-205,Clinical Research
Id-212,Science
Id-213,Clinical Research
Id-218,"Pharmaceutical, Healthcare and Medical Sales"
Id-220,"Pharmaceutical, Healthcare and Medical Sales"
Id-221,"Pharmaceutical, Healthcare and Medical Sales"
Id-224,"Pharmaceutical, Healthcare and Medical Sales"
Id-227,Clinical Research
Id-229,Clinical Research
Id-233,"Pharmaceutical, Healthcare and Medical Sales"
Id-234,Clinical Research
Id-242,"Pharmaceutical, Healthcare and Medical Sales"
Id-246,Clinical Research
Id-247,"Pharmaceutical, Healthcare and Medical Sales"
Id-248,Clinical Research
Id-250,Clinical Research
Id-252,"Pharmaceutical, Healthcare and Medical Sales"
Id-255,"Pharmaceutical, Healthcare and Medical Sales"
Id-258,"Pharmaceutical, Healthcare and Medical Sales"
Id-259,Clinical Research
Id-260,Science
Id-262,"Pharmaceutical, Healthcare and Medical Sales"
Id-264,Clinical Research
Id-265,Science
Id-266,"Pharmaceutical, Healthcare and Medical Sales"
Id-267,"Pharmaceutical, Healthcare and Medical Sales"
Id-271,Clinical Research
Id-276,Clinical Research
Id-277,"Pharmaceutical, Healthcare and Medical Sales"
Id-278,"Pharmaceutical, Healthcare and Medical Sales"
Id-279,Manufacturing & Operations
Id-282,Clinical Research
Id-283,"Pharmaceutical, Healthcare and Medical Sales"
Id-284,Clinical Research
Id-286,"Pharmaceutical, Healthcare and Medical Sales"
Id-287,Clinical Research
Id-290,"Pharmaceutical, Healthcare and Medical Sales"
Id-291,Clinical Research
Id-294,Clinical Research
Id-296,Clinical Research
Id-300,Clinical Research
Id-305,Clinical Research
Id-307,"Pharmaceutical, Healthcare and Medical Sales"
Id-308,Science
Id-309,"Pharmaceutical, Healthcare and Medical Sales"
Id-310,Clinical Research
Id-312,"Pharmaceutical, Healthcare and Medical Sales"
Id-324,"Pharmaceutical, Healthcare and Medical Sales"
Id-325,"Pharmaceutical, Healthcare and Medical Sales"
Id-330,Science
Id-331,"Pharmaceutical, Healthcare and Medical Sales"
Id-335,"Pharmaceutical, Healthcare and Medical Sales"
Id-338,Clinical Research
Id-339,"Pharmaceutical, Healthcare and Medical Sales"
Id-341,"Pharmaceutical, Healthcare and Medical Sales"
Id-343,"Pharmaceutical, Healthcare and Medical Sales"
Id-346,"Pharmaceutical, Healthcare and Medical Sales"
Id-348,Clinical Research
Id-352,Clinical Research
Id-354,Science
Id-356,Science
Id-357,Science
Id-358,Clinical Research
Id-359,Science
Id-361,"Pharmaceutical, Healthcare and Medical Sales"
Id-362,Clinical Research
Id-364,"Pharmaceutical, Healthcare and Medical Sales"
Id-366,Clinical Research
Id-369,Clinical Research
Id-370,"Pharmaceutical, Healthcare and Medical Sales"
Id-371,Clinical Research
Id-372,Clinical Research
Id-374,"Pharmaceutical, Healthcare and Medical Sales"
Id-375,Science
Id-376,"Pharmaceutical, Healthcare and Medical Sales"
Id-378,"Pharmaceutical, Healthcare and Medical Sales"
Id-379,Clinical Research
Id-382,"Pharmaceutical, Healthcare and Medical Sales"
Id-383,"Pharmaceutical, Healthcare and Medical Sales"
Id-390,Clinical Research
Id-391,Manufacturing & Operations
Id-393,Clinical Research
Id-396,Science
Id-397,"Pharmaceutical, Healthcare and Medical Sales"
Id-398,Manufacturing & Operations
Id-402,Clinical Research
Id-409,Clinical Research
Id-410,"Pharmaceutical, Healthcare and Medical Sales"
Id-417,Science
Id-418,Clinical Research
Id-419,Science
Id-422,"Pharmaceutical, Healthcare and Medical Sales"
Id-424,Clinical Research
Id-426,Clinical Research
Id-427,"Pharmaceutical, Healthcare and Medical Sales"
Id-428,Clinical Research
Id-430,Science
Id-432,"Pharmaceutical, Healthcare and Medical Sales"
Id-435,"Pharmaceutical, Healthcare and Medical Sales"
Id-437,Clinical Research
Id-439,"Pharmaceutical, Healthcare and Medical Sales"
Id-440,"Pharmaceutical, Healthcare and Medical Sales"
Id-444,"Pharmaceutical, Healthcare and Medical Sales"
Id-448,Clinical Research
Id-449,Clinical Research
Id-450,Clinical Research
Id-453,Clinical Research
Id-454,Science
Id-455,Clinical Research
Id-459,Clinical Research
Id-460,Manufacturing & Operations
Id-464,"Pharmaceutical, Healthcare and Medical Sales"
Id-466,Clinical Research
Id-467,"Pharmaceutical, Healthcare and Medical Sales"
Id-468,"Pharmaceutical, Healthcare and Medical Sales"
Id-469,Science
Id-473,Clinical Research
Id-474,Science
Id-478,"Pharmaceutical, Healthcare and Medical Sales"
Id-479,"Pharmaceutical, Healthcare and Medical Sales"
Id-480,Manufacturing & Operations
Id-481,Clinical Research
Id-482,Science
Id-483,"Pharmaceutical, Healthcare and Medical Sales"
Id-484,Clinical Research
Id-485,"Pharmaceutical, Healthcare and Medical Sales"
Id-488,"Pharmaceutical, Healthcare and Medical Sales"
Id-489,Science
Id-492,Clinical Research
Id-494,"Pharmaceutical, Healthcare and Medical Sales"
Id-495,Clinical Research
Id-496,"Pharmaceutical, Healthcare and Medical Sales"
Id-498,Clinical Research
Id-499,"Pharmaceutical, Healthcare and Medical Sales"
Id-500,Clinical Research
Id-503,"Pharmaceutical, Healthcare and Medical Sales"
Id-512,"Pharmaceutical, Healthcare and Medical Sales"
Id-517,"Pharmaceutical, Healthcare and Medical Sales"
Id-519,"Pharmaceutical, Healthcare and Medical Sales"
Id-520,"Pharmaceutical, Healthcare and Medical Sales"
Id-521,Clinical Research
Id-522,"Pharmaceutical, Healthcare and Medical Sales"
Id-525,Science
Id-526,"Pharmaceutical, Healthcare and Medical Sales"
Id-528,Science
Id-529,"Pharmaceutical, Healthcare and Medical Sales"
Id-532,Science
Id-533,"Pharmaceutical, Healthcare and Medical Sales"
Id-536,Science
Id-543,"Pharmaceutical, Healthcare and Medical Sales"
Id-544,Clinical Research
Id-547,Science
Id-549,"Pharmaceutical, Healthcare and Medical Sales"
Id-551,"Pharmaceutical, Healthcare and Medical Sales"
Id-554,Manufacturing & Operations
Id-561,"Pharmaceutical, Healthcare and Medical Sales"
Id-564,"Pharmaceutical, Healthcare and Medical Sales"
Id-566,Clinical Research
Id-568,Clinical Research
Id-571,"Pharmaceutical, Healthcare and Medical Sales"
Id-572,"Pharmaceutical, Healthcare and Medical Sales"
Id-574,Clinical Research
Id-575,Clinical Research
Id-578,Science
Id-579,Clinical Research
Id-580,"Pharmaceutical, Healthcare and Medical Sales"
Id-582,Clinical Research
Id-583,Medical Information and Pharmacovigilance
Id-585,Science
Id-591,"Pharmaceutical, Healthcare and Medical Sales"
Id-597,Science
Id-603,Science
Id-606,"Pharmaceutical, Healthcare and Medical Sales"
Id-607,Clinical Research
Id-608,"Pharmaceutical, Healthcare and Medical Sales"
Id-610,Clinical Research
Id-612,"Pharmaceutical, Healthcare and Medical Sales"
Id-621,"Pharmaceutical, Healthcare and Medical Sales"
Id-623,"Pharmaceutical, Healthcare and Medical Sales"
