job_no,job_type_prediction
Id-1,Permanent
Id-2,Permanent
Id-4,Permanent
Id-6,Permanent
Id-7,Permanent
Id-8,Permanent
Id-15,Permanent
Id-17,Permanent
Id-20,Permanent
Id-25,Permanent
Id-26,Permanent
Id-28,Permanent
Id-29,Permanent
Id-30,Permanent
Id-31,Permanent
Id-32,Permanent
Id-34,Permanent
Id-35,Permanent
Id-38,Permanent
Id-41,Permanent
Id-46,Permanent
Id-47,Permanent
Id-49,Permanent
Id-50,Permanent
Id-53,Permanent
Id-54,Permanent
Id-62,Permanent
Id-63,Permanent
Id-64,Permanent
Id-65,Permanent
Id-70,Permanent
Id-73,Permanent
Id-77,Permanent
Id-78,Permanent
Id-80,Permanent
Id-83,Permanent
Id-84,Permanent
Id-85,Permanent
Id-88,Permanent
Id-89,Permanent
Id-91,Permanent
Id-92,Permanent
Id-95,Permanent
Id-97,Permanent
Id-102,Permanent
Id-103,Permanent
Id-104,Permanent
Id-107,Permanent
Id-109,Permanent
Id-116,Permanent
Id-120,Permanent
Id-121,Permanent
Id-122,Permanent
Id-125,Permanent
Id-127,Permanent
Id-134,Permanent
Id-135,Permanent
Id-136,Permanent
Id-147,Permanent
Id-148,Permanent
Id-150,Permanent
Id-156,Permanent
Id-157,Permanent
Id-161,Permanent
Id-163,Permanent
Id-164,Permanent
Id-170,Permanent
Id-172,Permanent
Id-177,Permanent
Id-178,Permanent
Id-179,Permanent
Id-180,Permanent
Id-182,Permanent
Id-183,Permanent
Id-185,Permanent
Id-189,Permanent
Id-191,Permanent
Id-192,Permanent
Id-193,Permanent
Id-194,Permanent
Id-197,Permanent
Id-198,Permanent
Id-199,Permanent
Id-200,Permanent
Id-203,Permanent
Id-205,Permanent
Id-212,Permanent
Id-213,Permanent
Id-218,Permanent
Id-220,Permanent
Id-221,Permanent
Id-224,Permanent
Id-227,Permanent
Id-229,Permanent
Id-233,Permanent
Id-234,Permanent
Id-242,Permanent
Id-246,Permanent
Id-247,Permanent
Id-248,Permanent
Id-250,Permanent
Id-252,Permanent
Id-255,Permanent
Id-258,Permanent
Id-259,Permanent
Id-260,Permanent
Id-262,Permanent
Id-264,Permanent
Id-265,Permanent
Id-266,Permanent
Id-267,Permanent
Id-271,Permanent
Id-276,Permanent
Id-277,Permanent
Id-278,Permanent
Id-279,Permanent
Id-282,Permanent
Id-283,Permanent
Id-284,Permanent
Id-286,Permanent
Id-287,Permanent
Id-290,Permanent
Id-291,Permanent
Id-294,Permanent
Id-296,Permanent
Id-300,Permanent
Id-305,Permanent
Id-307,Permanent
Id-308,Permanent
Id-309,Permanent
Id-310,Permanent
Id-312,Permanent
Id-324,Permanent
Id-325,Permanent
Id-330,Permanent
Id-331,Permanent
Id-335,Permanent
Id-338,Permanent
Id-339,Permanent
Id-341,Permanent
Id-343,Permanent
Id-346,Permanent
Id-348,Permanent
Id-352,Permanent
Id-354,Permanent
Id-356,Permanent
Id-357,Permanent
Id-358,Permanent
Id-359,Permanent
Id-361,Permanent
Id-362,Permanent
Id-364,Permanent
Id-366,Permanent
Id-369,Permanent
Id-370,Permanent
Id-371,Permanent
Id-372,Permanent
Id-374,Permanent
Id-375,Permanent
Id-376,Permanent
Id-378,Permanent
Id-379,Permanent
Id-382,Permanent
Id-383,Permanent
Id-390,Permanent
Id-391,Permanent
Id-393,Permanent
Id-396,Permanent
Id-397,Permanent
Id-398,Permanent
Id-402,Permanent
Id-409,Permanent
Id-410,Permanent
Id-417,Permanent
Id-418,Permanent
Id-419,Permanent
Id-422,Permanent
Id-424,Permanent
Id-426,Permanent
Id-427,Permanent
Id-428,Permanent
Id-430,Permanent
Id-432,Permanent
Id-435,Permanent
Id-437,Permanent
Id-439,Permanent
Id-440,Permanent
Id-444,Permanent
Id-448,Permanent
Id-449,Permanent
Id-450,Permanent
Id-453,Permanent
Id-454,Permanent
Id-455,Permanent
Id-459,Permanent
Id-460,Permanent
Id-464,Permanent
Id-466,Permanent
Id-467,Permanent
Id-468,Permanent
Id-469,Permanent
Id-473,Permanent
Id-474,Permanent
Id-478,Permanent
Id-479,Permanent
Id-480,Permanent
Id-481,Permanent
Id-482,Permanent
Id-483,Permanent
Id-484,Permanent
Id-485,Permanent
Id-488,Permanent
Id-489,Permanent
Id-492,Permanent
Id-494,Permanent
Id-495,Permanent
Id-496,Permanent
Id-498,Permanent
Id-499,Permanent
Id-500,Permanent
Id-503,Permanent
Id-512,Permanent
Id-517,Permanent
Id-519,Permanent
Id-520,Permanent
Id-521,Permanent
Id-522,Permanent
Id-525,Permanent
Id-526,Permanent
Id-528,Permanent
Id-529,Permanent
Id-532,Permanent
Id-533,Permanent
Id-536,Permanent
Id-543,Permanent
Id-544,Permanent
Id-547,Permanent
Id-549,Permanent
Id-551,Permanent
Id-554,Permanent
Id-561,Permanent
Id-564,Permanent
Id-566,Permanent
Id-568,Permanent
Id-571,Permanent
Id-572,Permanent
Id-574,Permanent
Id-575,Permanent
Id-578,Permanent
Id-579,Permanent
Id-580,Permanent
Id-582,Permanent
Id-583,Permanent
Id-585,Permanent
Id-591,Permanent
Id-597,Permanent
Id-603,Permanent
Id-606,Permanent
Id-607,Permanent
Id-608,Permanent
Id-610,Permanent
Id-612,Permanent
Id-621,Permanent
Id-623,Permanent
Id-629,Permanent
Id-630,Permanent
Id-631,Permanent
Id-636,Permanent
Id-637,Permanent
Id-638,Permanent
Id-652,Permanent
Id-654,Permanent
Id-657,Permanent
Id-659,Permanent
Id-661,Permanent
Id-663,Permanent
Id-664,Permanent
Id-667,Permanent
Id-668,Permanent
Id-669,Permanent
Id-671,Permanent
Id-676,Permanent
Id-677,Permanent
Id-679,Permanent
Id-680,Permanent
Id-682,Permanent
Id-695,Permanent
Id-699,Permanent
Id-700,Permanent
Id-701,Permanent
Id-703,Permanent
Id-704,Permanent
Id-706,Permanent
Id-707,Permanent
Id-719,Permanent
Id-722,Permanent
Id-727,Permanent
Id-728,Permanent
Id-730,Permanent
Id-731,Permanent
Id-733,Permanent
Id-735,Permanent
Id-738,Permanent
Id-740,Permanent
Id-741,Permanent
Id-742,Permanent
Id-743,Permanent
Id-748,Permanent
Id-749,Permanent
Id-750,Permanent
Id-751,Permanent
Id-756,Permanent
Id-757,Permanent
Id-762,Permanent
Id-772,Permanent
Id-774,Permanent
Id-775,Permanent
Id-777,Permanent
Id-779,Permanent
Id-781,Permanent
Id-782,Permanent
Id-783,Permanent
Id-790,Permanent
Id-792,Permanent
Id-798,Permanent
Id-800,Permanent
Id-801,Permanent
Id-804,Permanent
Id-805,Permanent
Id-809,Permanent
Id-810,Permanent
Id-811,Permanent
Id-812,Permanent
Id-814,Permanent
Id-815,Permanent
Id-817,Permanent
Id-825,Permanent
Id-834,Permanent
Id-835,Permanent
Id-836,Permanent
Id-840,Permanent
Id-844,Permanent
Id-848,Permanent
Id-850,Permanent
Id-853,Permanent
Id-859,Permanent
Id-860,Permanent
Id-861,Permanent
Id-863,Permanent
Id-864,Permanent
Id-867,Permanent
Id-869,Permanent
Id-871,Permanent
Id-873,Permanent
Id-874,Permanent
Id-879,Permanent
Id-885,Permanent
Id-887,Permanent
Id-888,Permanent
Id-894,Permanent
Id-896,Permanent
Id-900,Permanent
Id-904,Permanent
Id-906,Permanent
Id-907,Permanent
Id-908,Permanent
Id-910,Permanent
Id-911,Permanent
Id-917,Permanent
Id-921,Permanent
Id-923,Permanent
Id-924,Permanent
Id-926,Permanent
Id-929,Permanent
Id-932,Permanent
